3.07,294.64,294,294,294,294
6.14,295.15,294.01,294,294,294
9.21,295.56,294.04,294,294,294
12.28,295.91,294.1,294,294,294
15.36,296.22,294.17,294,294,294
18.43,296.5,294.26,294.01,294,294
21.5,296.76,294.35,294.02,294,294
24.57,297,294.45,294.04,294,294
27.64,297.22,294.56,294.06,294,294
30.71,297.43,294.67,294.08,294,294
33.78,297.63,294.78,294.11,294.01,294
36.85,297.83,294.89,294.14,294.01,294
39.92,298.01,295,294.17,294.01,294
42.99,298.19,295.11,294.21,294.02,294
46.06,298.35,295.22,294.25,294.03,294
49.13,298.52,295.32,294.29,294.04,294
52.2,298.68,295.43,294.34,294.05,294.01
55.27,298.83,295.54,294.38,294.06,294.01
58.34,298.98,295.64,294.43,294.07,294.01
61.41,299.12,295.75,294.48,294.08,294.01
64.48,299.26,295.85,294.53,294.1,294.02
67.55,299.4,295.95,294.58,294.12,294.02
70.62,299.53,296.05,294.64,294.13,294.03
73.69,299.66,296.15,294.69,294.15,294.03
76.76,299.78,296.25,294.74,294.17,294.04
79.83,299.91,296.34,294.8,294.19,294.05
82.9,300.03,296.44,294.85,294.22,294.06
85.97,300.15,296.53,294.91,294.24,294.07
89.04,300.26,296.62,294.97,294.26,294.08
92.11,300.37,296.71,295.02,294.29,294.09
95.18,300.48,296.8,295.08,294.31,294.1
98.25,300.59,296.89,295.13,294.34,294.11
101.32,300.7,296.98,295.19,294.37,294.13
104.39,300.8,297.07,295.25,294.4,294.14
107.46,300.91,297.15,295.3,294.43,294.16
110.53,301.01,297.24,295.36,294.46,294.18
113.6,301.11,297.32,295.42,294.49,294.19
116.67,301.2,297.4,295.47,294.52,294.21
119.74,301.3,297.49,295.53,294.55,294.23
122.81,301.39,297.57,295.59,294.58,294.25
125.88,301.49,297.65,295.64,294.61,294.27
128.96,301.58,297.72,295.7,294.65,294.29
132.03,301.67,297.8,295.75,294.68,294.31
135.1,301.76,297.88,295.81,294.71,294.34
